Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-02-04,0.2770575453168409,0.28144106406446284,0.27354992025989333,0.27881094813346863,199360000,0.0,0.0
1988-02-05,0.28056443140346277,0.28319454786918324,0.27004314611672203,0.2709198594093323,132160000,0.0,0.0
1988-02-08,0.27004318073146805,0.27530341433717764,0.26478294712575845,0.2717965841293335,203840000,0.0,0.0
1988-02-09,0.27354992025989333,0.2796876612478352,0.2717964940311602,0.27881094813346863,116480000,0.0,0.0
1988-02-10,0.27881092649042855,0.291085611501888,0.27881092649042855,0.2875779867172241,228480000,0.0,0.0
1988-02-11,0.2875780480543118,0.28933227053261357,0.28231781547870816,0.28494793176651,147840000,0.0,0.0
1988-02-12,0.28550991087183236,0.2916597576501213,0.2846314685699393,0.2881452143192291,137760000,0.000714,0.0
1988-02-16,0.28814524313019796,0.289902925491333,0.2811177743872406,0.289902925491333,154560000,0.0,0.0
1988-02-17,0.28990305457934734,0.2986874120132557,0.28990305457934734,0.29429522156715393,256480000,0.0,0.0
1988-02-18,0.29253835534626116,0.3004442698880157,0.2916599125777457,0.2934167981147766,143360000,0.0,0.0
1988-02-19,0.2934167981147766,0.29517366019351265,0.2916599125777457,0.2934167981147766,90764800,0.0,0.0
1988-02-22,0.2916597298007585,0.3065939277971268,0.2916597298007585,0.30395862460136414,200480000,0.0,0.0
1988-02-23,0.30395872994716666,0.3074724765787355,0.29693043910222633,0.30044418573379517,220640000,0.0,0.0
1988-02-24,0.30044417887094776,0.3022018614575294,0.29517357077313167,0.2969304323196411,145600000,0.0,0.0
1988-02-25,0.29517366019351265,0.30220195300707264,0.2934167981147766,0.2934167981147766,179200000,0.0,0.0
1988-02-26,0.29517366019351265,0.2969305222722487,0.2899030504990096,0.2934167981147766,82342400,0.0,0.0
1988-02-29,0.2934167147085362,0.3039587286829096,0.291659829670915,0.30220186710357666,112000000,0.0,0.0
1988-03-01,0.30395862460136414,0.3057155090373927,0.2986872206283125,0.30395862460136414,171360000,0.0,0.0
1988-03-02,0.3074725460844222,0.3162577005019303,0.3057156841006346,0.3145008385181427,292320000,0.0,0.0
1988-03-03,0.31274299390929433,0.33031331712455303,0.31274299390929433,0.32679957151412964,473760000,0.0,0.0
1988-03-04,0.32328505444375377,0.33031334381406124,0.31977130854941765,0.32943490147590637,209440000,0.0,0.0
1988-03-07,0.3285564591377515,0.3355839509264237,0.3267995979197251,0.32943490147590637,207200000,0.0,0.0
1988-03-08,0.3285563429707225,0.33031322702585414,0.32328494014052445,0.325041800737381,144480000,0.0,0.0
1988-03-09,0.32504190486200873,0.33207019399879584,0.32504190486200873,0.32855644822120667,134400000,0.0,0.0
1988-03-10,0.330313339232775,0.33207020042643454,0.3180144429206848,0.3180144429206848,176960000,0.0,0.0
1988-03-11,0.3197714238900845,0.32152828574180603,0.31274313198469156,0.32152828574180603,157920000,0.0,0.0
1988-03-14,0.3215280560853928,0.32679948237386597,0.3197711954885362,0.325041800737381,98123200,0.0,0.0
1988-03-15,0.3232850276167998,0.32504188868903766,0.3145006753390476,0.3162575364112854,181440000,0.0,0.0
1988-03-16,0.3153791780265477,0.32592121522022466,0.31274307640636445,0.324163556098938,118720000,0.0,0.0
1988-03-17,0.32504188868903766,0.3267995708011261,0.3145006753390476,0.3162575364112854,260960000,0.0,0.0
1988-03-18,0.3162577005019303,0.3197714479277991,0.310986293510291,0.3145008385181427,272160000,0.0,0.0
1988-03-21,0.3118645769009276,0.31362223556871716,0.3022017822810462,0.3083508312702179,227360000,0.0,0.0
1988-03-22,0.3092292845249176,0.3127430305469745,0.3039586772209744,0.3092292845249176,119179200,0.0,0.0
1988-03-23,0.30922932251127105,0.30922932251127105,0.29429512009503067,0.29868730902671814,209440000,0.0,0.0
1988-03-24,0.29341669842714474,0.2986873063309712,0.28111780009760345,0.2872668504714966,320320000,0.0,0.0
1988-03-25,0.2863884092616393,0.2899029532808395,0.2811178013346204,0.2819962203502655,131040000,0.0,0.0
1988-03-28,0.2811177604919069,0.29341665708869974,0.2776040145649663,0.29165977239608765,172480000,0.0,0.0
1988-03-29,0.2916597576501213,0.29517350339941106,0.28550991087183236,0.2881452143192291,213920000,0.0,0.0
1988-03-30,0.28638858195926065,0.2899031280977973,0.27233279015183265,0.27760422229766846,371840000,0.0,0.0
1988-03-31,0.2793609415938204,0.2846315499964125,0.27584639725749877,0.28111782670021057,217280000,0.0,0.0
