"stamp","symbol","open","high","low","close","volume"
"2022-05-26 16:05:00","AAPL","143.5367","143.78","143.52","143.6","591619"
"2022-05-26 16:10:00","AAPL","143.63","143.78","143.553","143.64","46204"
"2022-05-26 16:15:00","AAPL","143.78","143.78","143.51","143.5989","15194"
"2022-05-26 16:20:00","AAPL","143.5699","143.59","143.52","143.55","7508"
"2022-05-26 16:25:00","AAPL","143.56","143.6","143.54","143.5506","21022"
"2022-05-26 16:30:00","AAPL","143.78","143.78","143.6","143.6","314964"
"2022-05-26 16:35:00","AAPL","143.63","143.65","143.6","143.63","5391"
"2022-05-26 16:40:00","AAPL","143.78","143.78","143.5613","143.63","44223"
"2022-05-26 16:45:00","AAPL","143.63","143.6389","143.52","143.52","4845"
"2022-05-26 16:50:00","AAPL","143.58","143.64","143.54","143.58","5131"
"2022-05-26 16:55:00","AAPL","143.6394","143.64","143.57","143.58","5657"
"2022-05-26 17:00:00","AAPL","143.78","143.78","143.55","143.5507","20834"
"2022-05-26 17:05:00","AAPL","143.6","143.69","143.6","143.69","3748"
"2022-05-26 17:10:00","AAPL","143.64","143.65","143.57","143.6","6833"
"2022-05-26 17:15:00","AAPL","143.59","143.59","143.56","143.57","2266"
"2022-05-26 17:20:00","AAPL","143.6","143.65","143.6","143.64","2510"
"2022-05-26 17:25:00","AAPL","143.67","143.67","143.61","143.64","2592"
"2022-05-26 17:30:00","AAPL","143.64","143.64","143.64","143.64","600"
"2022-05-26 17:35:00","AAPL","143.64","143.67","143.64","143.67","1617"
"2022-05-26 17:40:00","AAPL","143.67","143.69","143.67","143.67","7731"
"2022-05-26 17:45:00","AAPL","143.6739","143.6739","143.65","143.65","394"
"2022-05-26 17:50:00","AAPL","143.66","143.69","143.65","143.65","3490"
"2022-05-26 17:55:00","AAPL","143.65","143.65","143.64","143.64","1148"
"2022-05-26 18:00:00","AAPL","143.62","143.74","143.6","143.74","7399"
"2022-05-26 18:05:00","AAPL","143.68","143.74","143.68","143.7","2315"
"2022-05-26 18:10:00","AAPL","143.7","143.77","143.7","143.77","1931"
"2022-05-26 18:15:00","AAPL","143.7501","143.9","143.7501","143.85","4000"
"2022-05-26 18:20:00","AAPL","143.84","143.97","143.84","143.93","7868"
"2022-05-26 18:25:00","AAPL","143.88","143.88","143.75","143.8","7536"
"2022-05-26 18:30:00","AAPL","143.84","143.88","143.81","143.81","2073"
"2022-05-26 18:35:00","AAPL","143.81","143.88","143.74","143.77","3522"
"2022-05-26 18:40:00","AAPL","143.78","143.8799","143.78","143.86","4874"
"2022-05-26 18:45:00","AAPL","143.83","143.83","143.72","143.72","3955"
"2022-05-26 18:50:00","AAPL","143.81","143.85","143.77","143.81","2232"
"2022-05-26 18:55:00","AAPL","143.86","143.86","143.8","143.8","1952"
"2022-05-26 19:00:00","AAPL","143.83","143.83","143.8","143.83","2920"
"2022-05-26 19:05:00","AAPL","143.84","143.87","143.84","143.85","6342"
"2022-05-26 19:10:00","AAPL","143.84","143.87","143.84","143.87","3395"
"2022-05-26 19:15:00","AAPL","143.88","143.88","143.88","143.88","227"
"2022-05-26 19:20:00","AAPL","143.87","143.87","143.76","143.82","4969"
"2022-05-26 19:25:00","AAPL","143.8","143.82","143.8","143.82","952"
"2022-05-26 19:30:00","AAPL","143.83","143.83","143.79","143.79","1614"
"2022-05-26 19:35:00","AAPL","143.85","143.86","143.85","143.86","3253"
"2022-05-26 19:40:00","AAPL","143.9","144","143.9","143.98","11408"
"2022-05-26 19:45:00","AAPL","144","144.03","143.97","144","10046"
"2022-05-26 19:50:00","AAPL","144","144.01","143.9","143.98","6230"
"2022-05-26 19:55:00","AAPL","143.98","144.15","143.98","144.14","6116"
"2022-05-27 04:00:00","AAPL","143.99","143.99","143","143.12","10627"
"2022-05-27 04:05:00","AAPL","143.17","143.32","143.17","143.26","2870"
"2022-05-27 04:10:00","AAPL","143.4","143.5","143.38","143.5","2772"
"2022-05-27 04:15:00","AAPL","143.64","143.64","143.64","143.64","739"
"2022-05-27 04:20:00","AAPL","143.7","143.8","143.63","143.8","1195"
"2022-05-27 04:25:00","AAPL","143.83","143.91","143.81","143.81","3707"
"2022-05-27 04:30:00","AAPL","143.9","144.24","143.9","144.02","11005"
"2022-05-27 04:35:00","AAPL","144.11","144.11","144.02","144.1","3014"
"2022-05-27 04:40:00","AAPL","144.07","144.16","143.96","143.96","3492"
"2022-05-27 04:45:00","AAPL","143.91","143.98","143.91","143.93","2524"
"2022-05-27 04:50:00","AAPL","143.91","143.91","143.87","143.87","1041"
"2022-05-27 04:55:00","AAPL","144.03","144.06","144.03","144.06","1212"
"2022-05-27 05:00:00","AAPL","144","144","143.9","143.92","3047"
