,country,no_profiles,avg_profile_len,std_profile_len,female_ratio,avg_monthly_duration,total_monthly_duration,std_monthly_duration,avg_high_agreement,avg_low_agreement,avg_views,total_views,std_views,avg_questions,std_questions,total_questions,avg_answers,std_answers,total_answers,avg_comments,std_comments,total_comments,lon,lat
48,Congo,131,9.3,10.756148792300396,0.17894736842105263,1.0080152671755727,132.05,1.7155261224149854,8.816793893129772,1.8702290076335877,5.694656488549619,746,37.44737705301031,4.888888888888889,7.4179270032564375,132.0,13.625,41.78656083798553,218.0,22.59090909090909,67.09457368656439,497.0,15.6419155,-0.7264327
49,"Congo, The Democratic Republic of the",665,12.42051282051282,21.298264527904802,0.16923076923076924,1.2859398496240584,855.1499999999988,1.7938025999147231,10.529323308270676,0.5368421052631579,9.254135338345865,6154,62.764621144090185,6.813953488372093,26.849920694092734,879.0,13.796296296296296,45.70011130260262,1490.0,22.356521739130436,70.48207328436249,2571.0,23.573277,-6.1240547
50,Cook Islands,2,,,0.0,1.5899999999999999,3.1799999999999997,2.0364675298172568,0.0,0.0,1.0,2,0.0,,,0.0,,,0.0,,,0.0,-157.9753368892878,-19.919672900000002
51,Costa Rica,3447,15.379941434846266,29.654121030010366,0.11747211895910781,2.2446446185088615,7737.290000000046,2.7654486736699235,16.551784160139253,0.8230345227734261,16.16971279373368,55737,144.05631810254886,5.096311475409836,10.132706461108311,4974.0,12.035885167464114,58.18330442923782,10062.0,27.703037120359955,179.03496186386153,24628.0,-84.0739102,10.2735633
52,Croatia,6381,11.818518518518518,27.000100928428566,0.15957045968349662,2.7553565271900973,17581.93000000001,3.1052989728273688,41.095439586271745,7.330982604607429,41.77417332706472,266561,484.36425184091,7.258981444926964,18.739442611472608,18387.0,27.280943025540275,192.52498264843086,55544.0,53.52558724832215,444.32406072083285,127605.0,17.0118954,45.5643442
53,Cuba,1822,15.773955773955773,30.651603496044547,0.11946308724832215,2.1604720087815648,3936.380000000011,2.340384090340695,24.9615806805708,6.498353457738749,15.458836443468716,28166,139.80473244501252,5.2282229965156795,10.529531543857155,3001.0,14.277467411545624,70.47898037124995,7667.0,37.2,294.6332902244788,18414.0,-80.8328748,23.0131338
54,Curaçao,109,21.771929824561404,37.21703601072443,0.13978494623655913,2.858715596330275,311.59999999999997,3.2730535920625816,169.91743119266056,213.72477064220183,4181.220183486239,455753,43336.76009556668,15.54054054054054,35.954133276991946,575.0,489.6111111111111,2848.4911422192604,17626.0,1053.8529411764705,5877.960964393221,35831.0,-68.9309263,12.1176488
55,Cyprus,1793,16.956521739130434,38.63639341585289,0.11388888888888889,2.446954824316795,4387.390000000014,2.9700737813012696,30.7356385945343,2.7746793084216397,31.042944785276074,55660,181.28098517978103,8.155586987270155,20.9160904701235,5766.0,25.173489278752438,113.0932065082115,12914.0,41.81487341772152,206.27545068037358,26427.0,33.1451285,34.9823018
56,Czechia,15162,10.673977328733367,25.042488463953855,0.1207532667179093,3.4049881282152805,51626.43000000008,3.3011480220017804,59.94657696873763,5.983643318823375,52.7194301543332,799332,802.7852923471247,8.05143451761558,28.036540564905472,54162.0,25.55081746165515,140.09656621016765,151593.0,50.04341714821177,311.74315107391254,320428.0,15.4749544,49.8167003
57,Côte d'Ivoire,1263,16.44392523364486,34.49616071056359,0.13789359391965256,1.066539984164685,1347.0399999999972,1.610594672127331,2.745051464766429,0.01583531274742676,2.039588281868567,2576,12.402904054713034,2.3806818181818183,2.589533127454024,419.0,3.7365269461077846,6.458583149497133,624.0,6.802816901408451,21.806121671755395,966.0,-5.5679458,7.9897371
58,Denmark,16339,13.325729620932574,29.15006436481863,0.1246299168193994,3.3528343227859754,54781.96000000005,3.4657798342331954,44.92496480812779,10.745945284289125,62.52389987147316,1021578,1376.112248961459,7.945427728613569,20.802166953430337,64644.0,24.365881771776717,151.38039246582287,147974.0,47.54904051172708,333.9178498895938,356808.0,10.3333283,55.670249
59,Djibouti,57,3.727272727272727,4.29164092372391,0.14583333333333334,0.7752631578947368,44.19,1.3824539584985895,0.47368421052631576,0.0,2.087719298245614,119,5.979968650641628,4.857142857142857,3.8483144114694956,34.0,2.3333333333333335,2.3094010767585034,7.0,8.166666666666666,8.471520918150805,49.0,42.8453061,11.8145966
60,Dominica,35,6.818181818181818,9.785889656216055,0.25925925925925924,2.170285714285714,75.96,2.463887991288046,0.9714285714285714,0.0,5.428571428571429,190,10.866261098100894,2.8,1.873795909674026,28.0,2.3,1.9465068427541912,23.0,5.4,3.565264521898917,54.0,-70.3028026,19.0974031
61,Dominican Republic,2905,18.91,33.75598399364893,0.11059322033898306,2.493242685025828,7242.87000000003,2.8153879023327475,21.952839931153186,2.269535283993115,16.741135972461272,48633,132.08842118224095,5.382271468144045,11.604347377212962,3886.0,11.204516938519449,36.49908210691076,8930.0,21.412,58.26356591803016,16059.0,-70.3028026,19.0974031
62,Ecuador,3334,15.746305418719212,31.795032355336534,0.11815675462780623,1.9848470305938983,6617.480000000057,2.5088956808423544,11.886022795440912,0.3161367726454709,10.162267546490702,33881,67.29527791323959,4.884934756820877,14.550993088008875,4118.0,8.616993464052287,27.545316756975268,6592.0,16.85907859078591,60.41987129174512,12442.0,-79.3666965,-1.3397668
63,Egypt,33189,16.754541613857203,35.88847194253598,0.15694727178381832,1.6515713037452242,54814.00000000025,2.2339219823126806,12.292627075235771,0.4583747627225888,10.473590647503691,347608,105.4237347919562,5.148941500688964,15.779392076427968,41104.0,10.751181102362205,48.635573424885685,61443.0,19.907301307477596,103.22567173238724,135509.0,29.2675469,26.2540493
64,El Salvador,1337,15.542,29.351580307252046,0.11520302171860246,2.121286462228881,2836.160000000014,2.5980754028445743,19.55946148092745,0.39267015706806285,13.893044128646222,18575,91.473015986549,6.301204819277109,17.725660263489583,2092.0,10.046583850931677,26.528671449100457,3235.0,21.679054054054053,65.61408773222911,6417.0,-88.9140683,13.8000382
65,Equatorial Guinea,10,15.666666666666666,25.403411844343534,0.375,0.993,9.93,1.4021099180243404,2.1,0.0,1.0,10,1.6996731711975948,1.3333333333333333,0.5773502691896257,4.0,1.0,,1.0,1.0,0.0,2.0,10.5170357,1.613172
